DATE,MEHOINUSA672N
1984-01-01,55828
1985-01-01,56871
1986-01-01,58920
1987-01-01,59624
1988-01-01,60115
1989-01-01,61153
1990-01-01,60370
1991-01-01,58607
1992-01-01,58153
1993-01-01,57843
1994-01-01,58515
1995-01-01,60348
1996-01-01,61225
1997-01-01,62484
1998-01-01,64781
1999-01-01,66385
2000-01-01,66248
2001-01-01,64779
2002-01-01,64047
2003-01-01,63967
2004-01-01,63745
2005-01-01,64427
2006-01-01,64930
2007-01-01,65801
2008-01-01,63455
2009-01-01,63011
2010-01-01,61364
2011-01-01,60428
2012-01-01,60313
2013-01-01,62425
2014-01-01,61468
2015-01-01,64631
2016-01-01,66657
2017-01-01,67571
2018-01-01,68168
2019-01-01,72808
2020-01-01,71186
2021-01-01,70784
