DATE,W398RC1A027NBEA
1992-01-01,431.693
1993-01-01,377.899
1994-01-01,345.198
1995-01-01,366.774
1996-01-01,353.639
1997-01-01,339.566
1998-01-01,412.742
1999-01-01,306.656
2000-01-01,310.387
2001-01-01,376.781
2002-01-01,478.964
2003-01-01,481.303
2004-01-01,446.855
2005-01-01,249.511
2006-01-01,362.02
2007-01-01,358.582
2008-01-01,572.717
2009-01-01,744.897
2010-01-01,797.979
2011-01-01,916.908
2012-01-01,1172.203
2013-01-01,885.739
2014-01-01,1047.233
2015-01-01,1153.632
2016-01-01,1115.809
2017-01-01,1197.394
2018-01-01,1317.222
2019-01-01,1600.97
2020-01-01,3074.795
2021-01-01,2353.423
