DATE,SIPOVGINIUSA
1/1/1974,35.3
1/1/1975,
1/1/1976,
1/1/1977,
1/1/1978,
1/1/1979,35.3
1/1/1980,35.2
1/1/1981,36.1
1/1/1982,37.3
1/1/1983,37.9
1/1/1984,38
1/1/1985,38.2
1/1/1986,38.2
1/1/1987,37.2
1/1/1988,37.7
1/1/1989,38.2
1/1/1990,38.3
1/1/1991,38
1/1/1992,38.4
1/1/1993,40.4
1/1/1994,40
1/1/1995,39.9
1/1/1996,40.3
1/1/1997,40.5
1/1/1998,40
1/1/1999,40
1/1/2000,40.1
1/1/2001,40.6
1/1/2002,40.4
1/1/2003,40.8
1/1/2004,40.3
1/1/2005,41
1/1/2006,41.4
1/1/2007,40.8
1/1/2008,40.8
1/1/2009,40.6
1/1/2010,40
1/1/2011,40.9
1/1/2012,40.9
1/1/2013,40.7
1/1/2014,41.5
1/1/2015,41.2
1/1/2016,41.1
1/1/2017,41.2
1/1/2018,41.4
1/1/2019,41.5
1/1/2020,39.7
